query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
займ на карту онлайн,займ на карту онлайн,займ на карту онлайн,45415,54245,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"online;onCard;loan",
взять займ,взять займ,взять займ,43086,78531,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,loan,
займы на карту онлайн,займы на карту онлайн,займы на карту онлайн,38902,44446,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"online;onCard;loan",
быстрый займ,быстрый займ,быстрый займ,37927,46446,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/srochno/,Срочные займы,commercial,high,"instant;loan",
онлайн займы на карту,онлайн займы на карту,онлайн займы на карту,37335,42288,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"online;onCard;loan",
займ t_me_top_zaim24,займ t_me_top_zaim24,займ t_me_top_zaim24,36594,17657,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,loan,"Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займ экспресс,займ экспресс,займ экспресс,35801,38810,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/srochno/,Срочные займы,commercial,high,"instant;loan",
онлайн займ на карту,онлайн займ на карту,онлайн займ на карту,35764,39965,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"online;onCard;loan",
займы без отказа,займы без отказа,займы без отказа,30053,64776,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-otkaza/,Займы без отказа,commercial,high,"noRefusal;loan",Формулировку использовать аккуратно.
займ без отказа,займ без отказа,займ без отказа,28865,50000,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-otkaza/,Займы без отказа,commercial,high,"noRefusal;loan",Формулировку использовать аккуратно.
займы онлайн t_me_top_zaim24,займы онлайн t_me_top_zaim24,займы онлайн t_me_top_zaim24,28841,13901,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"online;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займ без процентов,займ без процентов,займ без процентов,27803,51912,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;loan",
взять займ на карту,взять займ на карту,взять займ на карту,27011,32405,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"onCard;loan",
займ на карте онлайн,займ на карте онлайн,займ на карте онлайн,26621,29065,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
юкки займ,юкки займ,юкки займ,25806,54458,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ онлайн на карте,займ онлайн на карте,займ онлайн на карте,25515,27446,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
займы онлайн на карту без отказа,займы онлайн на карту без отказа,займы онлайн на карту без отказа,25275,39268,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ на карту срочно,займ на карту срочно,займ на карту срочно,24171,29607,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/srochno-na-kartu/,Срочные займы на карту,commercial:compound,high,"onCard;instant;loan",
займы с плохой кредитной историей без отказа,займы с плохой кредитной историей без отказа,займы с плохой кредитной историей без отказа,23621,23644,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey-bez-otkaza/,Займы с плохой кредитной историей без отказа,commercial:compound,high,"noRefusal;badCredit;loan",
займ с плохой кредитной историей без отказа,займ с плохой кредитной историей без отказа,займ с плохой кредитной историей без отказа,23563,23185,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey-bez-otkaza/,Займы с плохой кредитной историей без отказа,commercial:compound,high,"noRefusal;badCredit;loan",
микрозайм без процентов,микрозайм без процентов,микрозайм без процентов,23344,42238,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:Queries;zaim:AdditionalQueries",page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;microloan;loan",
займ на карту вам одобрено,займ на карту вам одобрено,займ на карту вам одобрено,22346,22402,LOW,LOW,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
турбозайм личный кабинет,турбозайм личный кабинет,турбозайм личный кабинет,21818,52726,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
взять микрозайм,взять микрозайм,взять микрозайм,21275,29188,AVERAGE,AVERAGE,microzaim,microzaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,"microloan;loan",
юкки займ личный кабинет,юкки займ личный кабинет,юкки займ личный кабинет,20285,28410,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
веб займ,веб займ,веб займ,19933,91316,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ до зарплаты,займ до зарплаты,займ до зарплаты,19879,21911,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/do-zarplaty/,Займы до зарплаты,commercial,medium,"payday;loan",
микрозайм на карту,микрозайм на карту,микрозайм на карту,19608,18767,AVERAGE,AVERAGE,microzaim,microzaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"onCard;microloan;loan",
займ без отказа с плохой кредитной историей,займ без отказа с плохой кредитной историей,займ без отказа с плохой кредитной историей,19600,18082,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey-bez-otkaza/,Займы с плохой кредитной историей без отказа,commercial:compound,high,"noRefusal;badCredit;loan",
займы без отказа с плохой кредитной историей,займы без отказа с плохой кредитной историей,займы без отказа с плохой кредитной историей,19534,18112,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey-bez-otkaza/,Займы с плохой кредитной историей без отказа,commercial:compound,high,"noRefusal;badCredit;loan",
взять займ на карту без отказа,взять займ на карту без отказа,взять займ на карту без отказа,19002,25595,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
до зарплаты займ,до зарплаты займ,до зарплаты займ,18785,23662,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/do-zarplaty/,Займы до зарплаты,commercial,medium,"payday;loan",
микрозайм онлайн,микрозайм онлайн,микрозайм онлайн,18349,21760,AVERAGE,AVERAGE,microzaim,microzaim:Queries,page,/zaimy/online/,Займы онлайн,commercial,high,"online;microloan;loan",
займ под залог птс,займ под залог птс,займ под залог птс,18183,24888,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/pod-zalog-pts/,Займы под залог ПТС,commercial,medium,"collateralPts;loan",
займ с плохой кредитной историей,займ с плохой кредитной историей,займ с плохой кредитной историей,17965,17424,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey/,Займы с плохой кредитной историей,commercial,high,"badCredit;loan",
займы на карту без отказа,займы на карту без отказа,займы на карту без отказа,17730,22815,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
все займы,все займы,все займы,17448,25797,LOW,LOW,zaim,zaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,loan,
микрозайм t_me_top_zaim24,микрозайм t_me_top_zaim24,микрозайм t_me_top_zaim24,16640,8265,LOW,LOW,microzaim,microzaim:Queries,noise,,,,exclude,"microloan;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
онлайн займ на карту без отказа,онлайн займ на карту без отказа,онлайн займ на карту без отказа,16594,24131,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
квику,квику,квику,16470,24698,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
займ взять,займ взять,займ взять,16263,20851,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,loan,
займ без отказа на карту,займ без отказа на карту,займ без отказа на карту,16263,20160,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
без отказа займ,без отказа займ,без отказа займ,16017,19807,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-otkaza/,Займы без отказа,commercial,high,"noRefusal;loan",Формулировку использовать аккуратно.
привет сосед займ,привет сосед займ,привет сосед займ,15714,29594,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ онлайн на карту без отказа,займ онлайн на карту без отказа,займ онлайн на карту без отказа,15545,18868,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займы без отказа на карту,займы без отказа на карту,займы без отказа на карту,15260,22424,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ под залог авто,займ под залог авто,займ под залог авто,15159,23481,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/pod-zalog-avto/,Займы под залог автомобиля,commercial,medium,"collateralAuto;loan",
новые займы,новые займы,новые займы,14701,15167,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/novye/,Новые займы,commercial,medium,"newLoans;loan",
займы онлайн на карту t_me_top_zaim24,займы онлайн на карту t_me_top_zaim24,займы онлайн на карту t_me_top_zaim24,14017,6728,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"online;onCard;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займы с плохой кредитной историей,займы с плохой кредитной историей,займы с плохой кредитной историей,13949,13310,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey/,Займы с плохой кредитной историей,commercial,high,"badCredit;loan",
микрозайм без процентов на карту,микрозайм без процентов на карту,микрозайм без процентов на карту,13839,20783,AVERAGE,AVERAGE,microzaim,microzaim:Queries,page,/zaimy/na-kartu-bez-procentov/,Займы на карту без процентов,commercial:compound,high,"onCard;noInterest;microloan;loan",
займы без процентов,займы без процентов,займы без процентов,12928,28044,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;loan",
взять займ онлайн,взять займ онлайн,взять займ онлайн,12678,18582,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
займ на карту без отказов,займ на карту без отказов,займ на карту без отказов,12521,15525,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
а деньги займ,а деньги займ,а деньги займ,12365,19400,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займы без отказов на карту,займы без отказов на карту,займы без отказов на карту,12230,15390,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
микрозаймы без процентов,микрозаймы без процентов,микрозаймы без процентов,12078,18746,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;microloan;loan",
все займы онлайн,все займы онлайн,все займы онлайн,11399,17727,LOW,LOW,zaim,zaim:Queries,page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
займ мобайл,займ мобайл,займ мобайл,11368,13715,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
лайм займ личный кабинет,лайм займ личный кабинет,лайм займ личный кабинет,10886,22807,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
бустра займ личный кабинет,бустра займ личный кабинет,бустра займ личный кабинет,10734,18207,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ на карту онлайн без отказа,займ на карту онлайн без отказа,займ на карту онлайн без отказа,10671,13623,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
моментальный займ,моментальный займ,моментальный займ,10597,12773,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/srochno/,Срочные займы,commercial,high,"instant;loan",
займ на карту с плохой кредитной историей,займ на карту с плохой кредитной историей,займ на карту с плохой кредитной историей,10489,9543,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-s-plohoy-kreditnoy-istoriey/,Займы на карту с плохой кредитной историей,commercial:compound,high,"onCard;badCredit;loan",
экспресс займ,экспресс займ,экспресс займ,10457,11523,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/srochno/,Срочные займы,commercial,high,"instant;loan",
корона займ,корона займ,корона займ,10334,12563,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
капуста,капуста,капуста,10237,28146,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
первый займ без процентов,первый займ без процентов,первый займ без процентов,10026,14602,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;firstFree;loan",
небус займ,небус займ,небус займ,9780,21817,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ через госуслуги,займ через госуслуги,займ через госуслуги,9671,9225,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/cherez-gosuslugi/,Займы через Госуслуги,commercial,medium,"gosuslugi;loan",
займы без карты,займы без карты,займы без карты,9547,9716,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/bez-karty/,Займы без карты,commercial,medium,"onCard;noCard;loan",
займы на карту без отказа онлайн,займы на карту без отказа онлайн,займы на карту без отказа онлайн,9533,11782,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займы онлайн без отказа на карту,займы онлайн без отказа на карту,займы онлайн без отказа на карту,9483,11911,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ на карту срочно без отказа,займ на карту срочно без отказа,займ на карту срочно без отказа,9364,11586,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;instant;loan",Формулировку 'без отказа' использовать аккуратно.
без процентов займ,без процентов займ,без процентов займ,9319,11656,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;loan",
займ срочно,займ срочно,займ срочно,9281,10819,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/srochno/,Срочные займы,commercial,high,"instant;loan",
микрокредит,микрокредит,микрокредит,9277,13717,AVERAGE,AVERAGE,microcredit,microcredit:Queries,page,/mikrokredity/,Микрокредиты,commercial:review,medium,microcredit,Проверить: делать отдельной страницей или алиасом к займам/микрозаймам.
займ на карту без процентов,займ на карту без процентов,займ на карту без процентов,9203,10719,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-procentov/,Займы на карту без процентов,commercial:compound,high,"onCard;noInterest;loan",
онлайн займы на карту без отказа,онлайн займы на карту без отказа,онлайн займы на карту без отказа,9182,11299,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
привет сосед займ личный кабинет,привет сосед займ личный кабинет,привет сосед займ личный кабинет,9016,14699,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ с просрочками и плохой кредитной историей,займ с просрочками и плохой кредитной историей,займ с просрочками и плохой кредитной историей,8940,7096,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey/,Займы с плохой кредитной историей,commercial,high,"badCredit;instant;loan",
онлайн займ без отказа на карту,онлайн займ без отказа на карту,онлайн займ без отказа на карту,8833,11135,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ на карту без отказа срочно,займ на карту без отказа срочно,займ на карту без отказа срочно,8796,10087,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;instant;loan",Формулировку 'без отказа' использовать аккуратно.
займ на карту без отказа t_me_top_zaim24,займ на карту без отказа t_me_top_zaim24,займ на карту без отказа t_me_top_zaim24,8667,4446,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"onCard;noRefusal;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займы без отказа онлайн на карту,займы без отказа онлайн на карту,займы без отказа онлайн на карту,8563,10544,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ экспресс личный кабинет,займ экспресс личный кабинет,займ экспресс личный кабинет,8541,7380,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,"instant;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ без процентов на карту,займ без процентов на карту,займ без процентов на карту,8522,14674,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-procentov/,Займы на карту без процентов,commercial:compound,high,"onCard;noInterest;loan",
займ без процентов первый,займ без процентов первый,займ без процентов первый,8504,10086,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;loan",
займ онлайн без отказа,займ онлайн без отказа,займ онлайн без отказа,8399,12845,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/bez-otkaza/,Займы без отказа,commercial,high,"online;noRefusal;loan",Формулировку использовать аккуратно.
займы новые,займы новые,займы новые,8368,8926,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/novye/,Новые займы,commercial,medium,"newLoans;loan",
займ на карту без отказа вам одобрено,займ на карту без отказа вам одобрено,займ на карту без отказа вам одобрено,8240,8265,LOW,LOW,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ без процента,займ без процента,займ без процента,8168,10693,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;loan",
взять займ с плохой кредитной историей,взять займ с плохой кредитной историей,взять займ с плохой кредитной историей,8135,7880,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey/,Займы с плохой кредитной историей,commercial,high,"badCredit;loan",
онлайн на карту займ без отказа,онлайн на карту займ без отказа,онлайн на карту займ без отказа,8131,10127,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займы без процента,займы без процента,займы без процента,8095,9515,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/bez-procentov/,Займы без процентов,commercial,high,"noInterest;loan",
небус займ личный кабинет войти,небус займ личный кабинет войти,небус займ личный кабинет войти,8076,17814,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ на карту мгновенно,займ на карту мгновенно,займ на карту мгновенно,8067,8395,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/srochno-na-kartu/,Срочные займы на карту,commercial:compound,high,"onCard;instant;loan",
займ ооо,займ ооо,займ ооо,8005,9182,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,loan,
топ займов,топ займов,топ займов,7943,9280,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
займ под залог автомобиля,займ под залог автомобиля,займ под залог автомобиля,7822,12024,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/pod-zalog-avto/,Займы под залог автомобиля,commercial,medium,"collateralAuto;loan",
займ на карту без отказов онлайн,займ на карту без отказов онлайн,займ на карту без отказов онлайн,7729,9701,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ на карту онлайн без отказов,займ на карту онлайн без отказов,займ на карту онлайн без отказов,7726,9779,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"online;onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
малоизвестные займы,малоизвестные займы,малоизвестные займы,7597,6767,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,loan,
микрозайм с плохой кредитной историей,микрозайм с плохой кредитной историей,микрозайм с плохой кредитной историей,7588,6735,AVERAGE,AVERAGE,microzaim,microzaim:Queries,page,/zaimy/s-plohoy-kreditnoy-istoriey/,Займы с плохой кредитной историей,commercial,high,"badCredit;microloan;loan",
юкки займ личный,юкки займ личный,юкки займ личный,7582,11035,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займы онлайн без отказа,займы онлайн без отказа,займы онлайн без отказа,7491,9598,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/bez-otkaza/,Займы без отказа,commercial,high,"online;noRefusal;loan",Формулировку использовать аккуратно.
доброзайм,доброзайм,доброзайм,7444,26071,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
