query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
скб финанс займ,скб финанс займ,скб финанс займ,2798,3052,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
кредит плюс займ,кредит плюс займ,кредит плюс займ,2797,5655,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
пробаланс займ,пробаланс займ,пробаланс займ,2781,3326,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
эко займ,эко займ,эко займ,2745,4805,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
а деньги займ на карту,а деньги займ на карту,а деньги займ на карту,2725,4357,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,"onCard;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
надо денег займ,надо денег займ,надо денег займ,2658,8278,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
возьмика займ,возьмика займ,возьмика займ,2587,5427,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
деньги ок займ,деньги ок займ,деньги ок займ,2554,3019,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
альфа займ,альфа займ,альфа займ,2506,4866,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
екапуста взять займ,екапуста взять займ,екапуста взять займ,2499,5877,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
рейзор займ,рейзор займ,рейзор займ,2490,2628,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
простой вопрос займ,простой вопрос займ,простой вопрос займ,2473,7128,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
веббанкир займ,веббанкир займ,веббанкир займ,2453,5621,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ золотая корона,займ золотая корона,займ золотая корона,2375,2269,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
рокетмен займ,рокетмен займ,рокетмен займ,2361,4183,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
рублион займ,рублион займ,рублион займ,2341,2537,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
вивус займ,вивус займ,вивус займ,2319,6051,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
лайк мани займ,лайк мани займ,лайк мани займ,2302,4128,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
свои люди займ,свои люди займ,свои люди займ,2249,8192,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
платиза займ,платиза займ,платиза займ,2192,5457,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ быстро деньги,займ быстро деньги,займ быстро деньги,2116,2647,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,"instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
смс финанс займ,смс финанс займ,смс финанс займ,2090,4083,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
срочно деньги займ на карту без отказа,срочно деньги займ на карту без отказа,срочно деньги займ на карту без отказа,2035,2152,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,"onCard;noRefusal;instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
digicash займ,digicash займ,digicash займ,1966,2422,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ быстроденьги,займ быстроденьги,займ быстроденьги,1929,2265,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,"instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
быстроденьги займ,быстроденьги займ,быстроденьги займ,1825,4599,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,"instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
конга займ,конга займ,конга займ,1825,2049,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
грин мани займ,грин мани займ,грин мани займ,1776,3451,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
кредиска займ,кредиска займ,кредиска займ,1719,4708,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
495 кредит займ,495 кредит займ,495 кредит займ,1674,2805,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
one click money займ,one click money займ,one click money займ,1662,4771,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
лайм займ взять,лайм займ взять,лайм займ взять,1648,2351,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
добро займ,добро займ,добро займ,1639,6705,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
boostra займ,boostra займ,boostra займ,1626,3682,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
турбозайм займ,турбозайм займ,турбозайм займ,1621,5777,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
апельсинка займ,апельсинка займ,апельсинка займ,1612,1733,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
хурма займ,хурма займ,хурма займ,1596,4092,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
кредиттер займ,кредиттер займ,кредиттер займ,1547,2325,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
манимен займ,манимен займ,манимен займ,1539,4129,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
честное слово займ,честное слово займ,честное слово займ,1531,1722,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
лайм займ кредит экспресс,лайм займ кредит экспресс,лайм займ кредит экспресс,1526,1617,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,"instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
kviku займ,kviku займ,kviku займ,1484,2136,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
пчелка займ,пчелка займ,пчелка займ,1482,2178,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
эква займ,эква займ,эква займ,1469,4637,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
кэш магнит займ,кэш магнит займ,кэш магнит займ,1466,1778,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
кубышка займ,кубышка займ,кубышка займ,1397,4978,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
монеза займ,монеза займ,монеза займ,1390,3595,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм турбозайм,микрозайм турбозайм,микрозайм турбозайм,1385,1871,HIGH,HIGH,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
cashtoyou займ,cashtoyou займ,cashtoyou займ,1350,3160,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
умный займ,умный займ,умный займ,1341,1978,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
кальмия займ,кальмия займ,кальмия займ,1341,1217,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ на карту озон,займ на карту озон,займ на карту озон,1339,1443,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,"onCard;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
финмолл займ,финмолл займ,финмолл займ,1307,1469,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрорезерв займ,микрорезерв займ,микрорезерв займ,1285,1499,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
гранат займ,гранат займ,гранат займ,1269,1386,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
яндекс займ,яндекс займ,яндекс займ,1243,1443,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
корона займ на карту,корона займ на карту,корона займ на карту,1239,1358,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,"onCard;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
срочно деньги займ на карту,срочно деньги займ на карту,срочно деньги займ на карту,1236,1402,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,"onCard;instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
золотая корона займ на карту срочно,золотая корона займ на карту срочно,золотая корона займ на карту срочно,1221,1325,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,"onCard;instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
мега деньги займ,мега деньги займ,мега деньги займ,1187,3204,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
белка кредит займ,белка кредит займ,белка кредит займ,1160,4902,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
золотая корона займ на карту,золотая корона займ на карту,золотая корона займ на карту,1156,1233,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,"onCard;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
joymoney займ,joymoney займ,joymoney займ,1139,4426,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ онлайн собрано про,займ онлайн собрано про,займ онлайн собрано про,1135,791,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,"online;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ онлайн sobrano pro,займ онлайн sobrano pro,займ онлайн sobrano pro,1118,762,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,"online;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ онлайн sobrano,займ онлайн sobrano,займ онлайн sobrano,1115,757,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,"online;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займы турбозайм,займы турбозайм,займы турбозайм,999,1716,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм людям до 80 лет на карту озон,микрозайм людям до 80 лет на карту озон,микрозайм людям до 80 лет на карту озон,932,508,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"onCard;microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм быстроденьги,микрозайм быстроденьги,микрозайм быстроденьги,484,511,HIGH,HIGH,microzaim,microzaim:Queries,brand,,,,separate,"instant;microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм быстро деньги,микрозайм быстро деньги,микрозайм быстро деньги,427,475,HIGH,HIGH,"microzaim;zaim","microzaim:Queries;zaim:AdditionalQueries",brand,,,,separate,"instant;microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрокредиты sobrano pro,микрокредиты sobrano pro,микрокредиты sobrano pro,376,258,LOW,LOW,microcredit,microcredit:Queries,brand,,,,separate,microcredit,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрокредиты собрано про,микрокредиты собрано про,микрокредиты собрано про,354,274,AVERAGE,AVERAGE,microcredit,microcredit:Queries,brand,,,,separate,microcredit,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
взять микрокредит sobrano pro,взять микрокредит sobrano pro,взять микрокредит sobrano pro,336,229,LOW,LOW,microcredit,microcredit:Queries,brand,,,,separate,microcredit,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
взять микрокредит sobrano,взять микрокредит sobrano,взять микрокредит sobrano,330,226,LOW,LOW,microcredit,microcredit:Queries,brand,,,,separate,microcredit,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
взять микрокредит собрано про,взять микрокредит собрано про,взять микрокредит собрано про,324,242,LOW,LOW,microcredit,microcredit:Queries,brand,,,,separate,microcredit,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм альфа банк,микрозайм альфа банк,микрозайм альфа банк,320,404,HIGH,HIGH,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм likemoney,микрозайм likemoney,микрозайм likemoney,314,334,LOW,LOW,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрокредиты sobrano,микрокредиты sobrano,микрокредиты sobrano,308,215,LOW,LOW,microcredit,microcredit:Queries,brand,,,,separate,microcredit,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
тинькофф микрозайм,тинькофф микрозайм,тинькофф микрозайм,290,293,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм на карту сбербанка,микрозайм на карту сбербанка,микрозайм на карту сбербанка,270,343,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"onCard;microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
бережный микрозайм,бережный микрозайм,бережный микрозайм,227,264,HIGH,HIGH,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм лайкмани,микрозайм лайкмани,микрозайм лайкмани,210,220,LOW,LOW,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм лайк мани,микрозайм лайк мани,микрозайм лайк мани,204,217,LOW,LOW,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
деньга микрозайм,деньга микрозайм,деньга микрозайм,200,212,HIGH,HIGH,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм на карту втб,микрозайм на карту втб,микрозайм на карту втб,197,164,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"onCard;microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм доброзайм,микрозайм доброзайм,микрозайм доброзайм,188,206,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм капуста,микрозайм капуста,микрозайм капуста,185,250,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ честное слово,займ честное слово,займ честное слово,175,224,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм альфа,микрозайм альфа,микрозайм альфа,168,141,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
дополучкино микрозайм,дополучкино микрозайм,дополучкино микрозайм,166,190,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
микрозайм сбербанка на карту,микрозайм сбербанка на карту,микрозайм сбербанка на карту,166,140,HIGH,HIGH,microzaim,microzaim:Queries,brand,,,,separate,"onCard;microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
альфа банк микрозайм,альфа банк микрозайм,альфа банк микрозайм,161,205,HIGH,HIGH,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
честное слово микрозайм,честное слово микрозайм,честное слово микрозайм,160,155,AVERAGE,AVERAGE,microzaim,microzaim:Queries,brand,,,,separate,"microloan;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
