query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
умные наличные займ личный кабинет,умные наличные займ личный кабинет,умные наличные займ личный кабинет,3108,5112,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,"cash;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
скб финанс займ личный кабинет,скб финанс займ личный кабинет,скб финанс займ личный кабинет,2773,2645,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
лайм займ личный,лайм займ личный,лайм займ личный,2751,5338,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
папа займ личный кабинет,папа займ личный кабинет,папа займ личный кабинет,2708,2533,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
а деньги личный кабинет займ вход в личный кабинет,а деньги личный кабинет займ вход в личный кабинет,а деньги личный кабинет займ вход в личный кабинет,2570,3019,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
лайк займ личный кабинет,лайк займ личный кабинет,лайк займ личный кабинет,2285,5004,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
юкки займ личный кабинет войти,юкки займ личный кабинет войти,юкки займ личный кабинет войти,2260,3027,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
деньги ок займ личный,деньги ок займ личный,деньги ок займ личный,2250,2409,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
кредиттер займ личный кабинет,кредиттер займ личный кабинет,кредиттер займ личный кабинет,2051,2394,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
белка кредит займ личный кабинет,белка кредит займ личный кабинет,белка кредит займ личный кабинет,2050,6093,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
вебзайм личный,вебзайм личный,вебзайм личный,2003,6129,HIGH,HIGH,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
дополучкино займ личный кабинет,дополучкино займ личный кабинет,дополучкино займ личный кабинет,1957,3205,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займер вход в личный кабинет займ вход в личный кабинет войти,займер вход в личный кабинет займ вход в личный кабинет войти,займер вход в личный кабинет займ вход в личный кабинет войти,1888,6304,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
каширо займ личный кабинет,каширо займ личный кабинет,каширо займ личный кабинет,1884,3726,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
быстро деньги займ личный кабинет,быстро деньги займ личный кабинет,быстро деньги займ личный кабинет,1833,4825,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,"instant;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
вивус займ личный,вивус займ личный,вивус займ личный,1715,2378,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
скорый займ личный кабинет,скорый займ личный кабинет,скорый займ личный кабинет,1715,1800,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
твои займы личный кабинет,твои займы личный кабинет,твои займы личный кабинет,1693,1541,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
бережный займ личный кабинет,бережный займ личный кабинет,бережный займ личный кабинет,1670,1716,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
кредит 7 займ личный кабинет,кредит 7 займ личный кабинет,кредит 7 займ личный кабинет,1641,3921,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
экспресс займ личный кабинет,экспресс займ личный кабинет,экспресс займ личный кабинет,1591,1424,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,"instant;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
грин мани займ личный кабинет,грин мани займ личный кабинет,грин мани займ личный кабинет,1568,2438,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
лайк мани займ личный кабинет,лайк мани займ личный кабинет,лайк мани займ личный кабинет,1523,2250,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
лайм займ личный кабинет войти,лайм займ личный кабинет войти,лайм займ личный кабинет войти,1518,2270,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
кит кредит займ личный кабинет,кит кредит займ личный кабинет,кит кредит займ личный кабинет,1483,1518,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
юкки займ личный кабинет войти в личный кабинет по номеру телефона,юкки займ личный кабинет войти в личный кабинет по номеру телефона,юкки займ личный кабинет войти в личный кабинет по номеру телефона,1464,1935,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
корона займ личный кабинет,корона займ личный кабинет,корона займ личный кабинет,1451,1573,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
вебзайм личный кабинет займ вход в личный кабинет,вебзайм личный кабинет займ вход в личный кабинет,вебзайм личный кабинет займ вход в личный кабинет,1425,3756,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
веббанкир займ личный кабинет займ,веббанкир займ личный кабинет займ,веббанкир займ личный кабинет займ,1391,4017,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
капуста займ личный кабинет,капуста займ личный кабинет,капуста займ личный кабинет,1382,2640,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ мобайл личный кабинет,займ мобайл личный кабинет,займ мобайл личный кабинет,1321,1445,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
веб займ личный,веб займ личный,веб займ личный,1298,3957,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
екапуста личный кабинет займ вход в личный кабинет,екапуста личный кабинет займ вход в личный кабинет,екапуста личный кабинет займ вход в личный кабинет,1296,2870,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
digicash займ личный кабинет,digicash займ личный кабинет,digicash займ личный кабинет,1293,1312,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
быстроденьги личный кабинет займ вход в личный кабинет,быстроденьги личный кабинет займ вход в личный кабинет,быстроденьги личный кабинет займ вход в личный кабинет,1266,2219,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,"instant;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
капиталина займ личный кабинет,капиталина займ личный кабинет,капиталина займ личный кабинет,1244,1991,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
finters займ личный кабинет,finters займ личный кабинет,finters займ личный кабинет,1220,2015,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
а деньги займ личный кабинет,а деньги займ личный кабинет,а деньги займ личный кабинет,1211,1433,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:AdditionalQueries;zaim:Queries",account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
простой вопрос займ личный кабинет,простой вопрос займ личный кабинет,простой вопрос займ личный кабинет,1203,1879,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
аденьги займ личный кабинет,аденьги займ личный кабинет,аденьги займ личный кабинет,1193,1730,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
простые займы личный кабинет,простые займы личный кабинет,простые займы личный кабинет,1171,1147,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
надо денег займ личный,надо денег займ личный,надо денег займ личный,1168,2961,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
бери беру займ личный кабинет,бери беру займ личный кабинет,бери беру займ личный кабинет,1163,2435,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
монеза займ личный кабинет,монеза займ личный кабинет,монеза займ личный кабинет,1155,1119,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
веб займ личный кабинет войти,веб займ личный кабинет войти,веб займ личный кабинет войти,1142,2498,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
выдадим займ личный кабинет,выдадим займ личный кабинет,выдадим займ личный кабинет,1142,1100,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
возьмика займ личный кабинет,возьмика займ личный кабинет,возьмика займ личный кабинет,1132,2452,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
микрозайм личный кабинет,микрозайм личный кабинет,микрозайм личный кабинет,1121,1212,LOW,LOW,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
бустра займ личный кабинет войти,бустра займ личный кабинет войти,бустра займ личный кабинет войти,1106,1376,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
до зарплаты личный кабинет займ вход в личный кабинет,до зарплаты личный кабинет займ вход в личный кабинет,до зарплаты личный кабинет займ вход в личный кабинет,1105,1571,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,"payday;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ личный кабинет,займ личный кабинет,займ личный кабинет,1092,960,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
турбозайм личный кабинет войти в личный,турбозайм личный кабинет войти в личный,турбозайм личный кабинет войти в личный,565,1085,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
до зарплаты вход в личный кабинет,до зарплаты вход в личный кабинет,до зарплаты вход в личный кабинет,525,785,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,payday,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
дополучкино займ личный,дополучкино займ личный,дополучкино займ личный,506,755,LOW,LOW,microzaim,microzaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ вход через госуслуги,займ вход через госуслуги,займ вход через госуслуги,280,252,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,account,,,,exclude,"gosuslugi;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
займы вход через госуслуги,займы вход через госуслуги,займы вход через госуслуги,277,233,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,account,,,,exclude,"gosuslugi;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
триумвират микрозайм личный кабинет,триумвират микрозайм личный кабинет,триумвират микрозайм личный кабинет,238,266,LOW,LOW,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
микрозайм займ личный кабинет,микрозайм займ личный кабинет,микрозайм займ личный кабинет,221,224,LOW,LOW,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
микрозайм личный кабинет войти,микрозайм личный кабинет войти,микрозайм личный кабинет войти,215,232,LOW,LOW,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
зарубас личный кабинет микрозайм,зарубас личный кабинет микрозайм,зарубас личный кабинет микрозайм,214,218,LOW,LOW,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
небус личный кабинет микрозайм,небус личный кабинет микрозайм,небус личный кабинет микрозайм,209,349,AVERAGE,AVERAGE,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
лаймзайм в личный кабинет,лаймзайм в личный кабинет,лаймзайм в личный кабинет,208,376,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
стратосфера микрозайм личный кабинет,стратосфера микрозайм личный кабинет,стратосфера микрозайм личный кабинет,193,261,LOW,LOW,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
папазайм личный,папазайм личный,папазайм личный,175,165,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
микрозайм 1 личный кабинет,микрозайм 1 личный кабинет,микрозайм 1 личный кабинет,154,170,LOW,LOW,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
что будет если не погасить микрозайм,что будет если не погасить микрозайм,что будет если не погасить микрозайм,152,146,AVERAGE,AVERAGE,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
что будет если не оплатить микрозайм,что будет если не оплатить микрозайм,что будет если не оплатить микрозайм,146,155,AVERAGE,AVERAGE,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
вебзайм вход,вебзайм вход,вебзайм вход,136,321,HIGH,HIGH,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
небус займы займ личный кабинет,небус займы займ личный кабинет,небус займы займ личный кабинет,136,198,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
экофинанс микрозайм личный кабинет,экофинанс микрозайм личный кабинет,экофинанс микрозайм личный кабинет,134,205,AVERAGE,AVERAGE,microzaim,microzaim:Queries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
как погасить микрозаймы если их много и ты уже в тупике,как погасить микрозаймы если их много и ты уже в тупике,как погасить микрозаймы если их много и ты уже в тупике,118,110,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
вебзайм вход в личный кабинет,вебзайм вход в личный кабинет,вебзайм вход в личный кабинет,85,104,HIGH,HIGH,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
что будет если не оплатить микрозайм во время,что будет если не оплатить микрозайм во время,что будет если не оплатить микрозайм во время,80,66,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
как быстро погасить микрозаймы если их много,как быстро погасить микрозаймы если их много,как быстро погасить микрозаймы если их много,74,81,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,account,,,,exclude,"instant;microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
как погасить много микрозаймов,как погасить много микрозаймов,как погасить много микрозаймов,67,71,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
займер экспресс личный кабинет,займер экспресс личный кабинет,займер экспресс личный кабинет,63,55,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,"instant;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
как погасить все долги по микрозаймам,как погасить все долги по микрозаймам,как погасить все долги по микрозаймам,59,62,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
как погасить микрокредиты,как погасить микрокредиты,как погасить микрокредиты,58,62,AVERAGE,AVERAGE,microcredit,microcredit:Queries,account,,,,exclude,microcredit,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
как оплатить микрокредит займер,как оплатить микрокредит займер,как оплатить микрокредит займер,55,45,AVERAGE,AVERAGE,microcredit,microcredit:Queries,account,,,,exclude,"microcredit;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
не могу оплатить микрозайм что делать,не могу оплатить микрозайм что делать,не могу оплатить микрозайм что делать,51,55,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,account,,,,exclude,"microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
ооо мкк стратосфера личный кабинет войти,ооо мкк стратосфера личный кабинет войти,ооо мкк стратосфера личный кабинет войти,39,37,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,account,,,,exclude,mfo,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
езаем личный кабинет войти в личный,езаем личный кабинет войти в личный,езаем личный кабинет войти в личный,36,44,LOW,LOW,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
до зарплаты регистрация,до зарплаты регистрация,до зарплаты регистрация,35,41,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,payday,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
creditplus займ личный кабинет,creditplus займ личный кабинет,creditplus займ личный кабинет,31,33,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
микрозайм регистрация через госуслуги,микрозайм регистрация через госуслуги,микрозайм регистрация через госуслуги,31,31,LOW,LOW,zaim,zaim:AdditionalQueries,account,,,,exclude,"gosuslugi;microloan;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
а деньги взять займ личный кабинет,а деньги взять займ личный кабинет,а деньги взять займ личный кабинет,31,29,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
мкк простой вопрос личный кабинет,мкк простой вопрос личный кабинет,мкк простой вопрос личный кабинет,29,33,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,mfo,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
денежная крепость мкк личный кабинет,денежная крепость мкк личный кабинет,денежная крепость мкк личный кабинет,27,26,LOW,LOW,zaim,zaim:AdditionalQueries,account,,,,exclude,mfo,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
скузайм личный кабинет,скузайм личный кабинет,скузайм личный кабинет,27,23,LOW,LOW,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
небус займы займ личный,небус займы займ личный,небус займы займ личный,26,29,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
кенго микрокредит личный кабинет,кенго микрокредит личный кабинет,кенго микрокредит личный кабинет,25,25,LOW,LOW,microcredit,microcredit:Queries,account,,,,exclude,microcredit,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
мкк скб финанс личный кабинет,мкк скб финанс личный кабинет,мкк скб финанс личный кабинет,25,22,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,mfo,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
turbomoney микрокредит личный кабинет,turbomoney микрокредит личный кабинет,turbomoney микрокредит личный кабинет,24,33,LOW,LOW,microcredit,microcredit:Queries,account,,,,exclude,microcredit,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
ооо мкк кредиттер личный кабинет,ооо мкк кредиттер личный кабинет,ооо мкк кредиттер личный кабинет,24,22,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,mfo,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ личный кабинет через госуслуги,займ личный кабинет через госуслуги,займ личный кабинет через госуслуги,23,24,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,account,,,,exclude,"gosuslugi;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
микрокредит личный кабинет,микрокредит личный кабинет,микрокредит личный кабинет,23,20,AVERAGE,AVERAGE,microcredit,microcredit:Queries,account,,,,exclude,microcredit,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
мкк а деньги альфа банк личный кабинет,мкк а деньги альфа банк личный кабинет,мкк а деньги альфа банк личный кабинет,22,21,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,mfo,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
мфк быстроденьги личный кабинет войти по номеру телефона,мфк быстроденьги личный кабинет войти по номеру телефона,мфк быстроденьги личный кабинет войти по номеру телефона,22,19,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,account,,,,exclude,"instant;mfo","Навигационный/сервисный запрос, не посадочная коммерческая страница."
