query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
займы онлайн список,займы онлайн список,займы онлайн список,2189,2857,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
топ микрозаймов,топ микрозаймов,топ микрозаймов,2188,3643,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
топ займов онлайн,топ займов онлайн,топ займов онлайн,2181,3949,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
калькулятор займа,калькулятор займа,калькулятор займа,2097,2413,HIGH,HIGH,zaim,zaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;loan",Сервисная страница и перелинковка.
займы отзывы,займы отзывы,займы отзывы,2091,2470,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/reviews/mfo/,Отзывы о МФО,support,medium,"reviews;loan","UGC/support слой, не основной коммерческий листинг."
рефинансирование микрозаймов онлайн без отказа,рефинансирование микрозаймов онлайн без отказа,рефинансирование микрозаймов онлайн без отказа,1930,1988,HIGH,HIGH,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"online;noRefusal;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
лучшие онлайн займы,лучшие онлайн займы,лучшие онлайн займы,1860,3016,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование микрозаймов онлайн,рефинансирование микрозаймов онлайн,рефинансирование микрозаймов онлайн,1859,1838,HIGH,HIGH,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"online;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
подбор микрозайма,подбор микрозайма,подбор микрозайма,1768,2024,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список займов,список займов,список займов,1686,2581,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование птс займ,рефинансирование птс займ,рефинансирование птс займ,1686,2189,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"collateralPts;refinance;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
рефинансирование займа под залог птс москва,рефинансирование займа под залог птс москва,рефинансирование займа под залог птс москва,1660,2155,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"collateralPts;refinance;loan;city:moskva","Спорный, но отдельный спрос. Нужна продуктовая проверка."
список микрозаймов,список микрозаймов,список микрозаймов,1653,2711,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование займа под птс,рефинансирование займа под птс,рефинансирование займа под птс,1652,2184,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"collateralPts;refinance;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
калькулятор процентов по договору займа,калькулятор процентов по договору займа,калькулятор процентов по договору займа,1596,1811,HIGH,HIGH,zaim,zaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;loan",Сервисная страница и перелинковка.
лучшие займы онлайн,лучшие займы онлайн,лучшие займы онлайн,1591,3017,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
отзывы про микрозайм,отзывы про микрозайм,отзывы про микрозайм,1534,1199,LOW,LOW,microzaim,microzaim:Queries,support,/reviews/mfo/,Отзывы о МФО,support,medium,"reviews;microloan;loan","UGC/support слой, не основной коммерческий листинг."
где лучше взять микрозайм на карту,где лучше взять микрозайм на карту,где лучше взять микрозайм на карту,1530,1797,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование микрозаймов под залог птс,рефинансирование микрозаймов под залог птс,рефинансирование микрозаймов под залог птс,1477,1977,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"collateralPts;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
рейтинг займов,рейтинг займов,рейтинг займов,1420,2043,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
подбор займов на карту,подбор займов на карту,подбор займов на карту,1333,1315,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
подбор займов,подбор займов,подбор займов,1314,1663,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование микрозаймов онлайн без отказа на карту,рефинансирование микрозаймов онлайн без отказа на карту,рефинансирование микрозаймов онлайн без отказа на карту,1310,1638,HIGH,HIGH,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"online;onCard;noRefusal;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
список новых займов на карту,список новых займов на карту,список новых займов на карту,1277,1167,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;newLoans;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
расчет процентов по договору займа,расчет процентов по договору займа,расчет процентов по договору займа,1243,1448,HIGH,HIGH,zaim,zaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;loan",Сервисная страница и перелинковка.
рефинансирование микрозаймов с просрочками,рефинансирование микрозаймов с просрочками,рефинансирование микрозаймов с просрочками,1236,1283,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"badCredit;instant;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
рефинансирование займов микрофинансовых организаций,рефинансирование займов микрофинансовых организаций,рефинансирование займов микрофинансовых организаций,1226,1327,HIGH,HIGH,zaim,zaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"refinance;mfo;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
калькулятор расчета процентов по займу,калькулятор расчета процентов по займу,калькулятор расчета процентов по займу,1188,1351,HIGH,HIGH,zaim,zaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;loan",Сервисная страница и перелинковка.
расчет процентов по займу онлайн калькулятор 2025,расчет процентов по займу онлайн калькулятор 2025,расчет процентов по займу онлайн калькулятор 2025,1182,1141,HIGH,HIGH,zaim,zaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"online;calculator;loan",Сервисная страница и перелинковка.
самые лучшие мфо,самые лучшие мфо,самые лучшие мфо,1152,1121,LOW,LOW,zaim,zaim:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;mfo",Коммерческо-support листинг: рейтинг/топ/подбор.
топ микрозаймов онлайн,топ микрозаймов онлайн,топ микрозаймов онлайн,1147,1617,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:Queries;zaim:AdditionalQueries",support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
все займы онлайн список,все займы онлайн список,все займы онлайн список,1133,1499,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм топ,микрозайм топ,микрозайм топ,996,1424,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список всех микрозаймов на карту,список всех микрозаймов на карту,список всех микрозаймов на карту,929,880,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список микрозаймов онлайн,список микрозаймов онлайн,список микрозаймов онлайн,863,1316,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рейтинг онлайн мфо,рейтинг онлайн мфо,рейтинг онлайн мфо,828,559,LOW,LOW,microcredit,microcredit:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;mfo",Коммерческо-support листинг: рейтинг/топ/подбор.
подбор микрозаймов,подбор микрозаймов,подбор микрозаймов,798,522,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список всех мфо,список всех мфо,список всех мфо,760,1101,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;mfo",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование микрозаймов вам одобрено,рефинансирование микрозаймов вам одобрено,рефинансирование микрозаймов вам одобрено,750,755,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"noRefusal;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
рефинансирование микрокредитов,рефинансирование микрокредитов,рефинансирование микрокредитов,738,772,HIGH,HIGH,microcredit,microcredit:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"refinance;microcredit","Спорный, но отдельный спрос. Нужна продуктовая проверка."
список займов на карту мгновенно,список займов на карту мгновенно,список займов на карту мгновенно,735,596,LOW,LOW,microzaim,microzaim:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;instant;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм с плохим кредитным рейтингом,микрозайм с плохим кредитным рейтингом,микрозайм с плохим кредитным рейтингом,664,887,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"badCredit;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
какой микрозайм лучше,какой микрозайм лучше,какой микрозайм лучше,663,739,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
топ микрозаймов онлайн на карту,топ микрозаймов онлайн на карту,топ микрозаймов онлайн на карту,628,996,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список микрозаймов онлайн на карту,список микрозаймов онлайн на карту,список микрозаймов онлайн на карту,609,1103,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм список,микрозайм список,микрозайм список,604,994,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список мфо где взять срочный микрозайм,список мфо где взять срочный микрозайм,список мфо где взять срочный микрозайм,564,674,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"instant;rating;mfo;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
где лучше всего взять микрозайм,где лучше всего взять микрозайм,где лучше всего взять микрозайм,563,518,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список всех микрозаймов онлайн на карту,список всех микрозаймов онлайн на карту,список всех микрозаймов онлайн на карту,561,901,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
какой микрозайм лучше взять,какой микрозайм лучше взять,какой микрозайм лучше взять,548,613,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рейтинг онлайн микрозаймов,рейтинг онлайн микрозаймов,рейтинг онлайн микрозаймов,546,869,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рейтинг микрозаймов онлайн,рейтинг микрозаймов онлайн,рейтинг микрозаймов онлайн,532,878,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список микрозаймов на карту без отказа,список микрозаймов на карту без отказа,список микрозаймов на карту без отказа,488,689,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;noRefusal;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
где лучше брать микрозайм,где лучше брать микрозайм,где лучше брать микрозайм,480,456,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
где лучше взять микрозайм,где лучше взять микрозайм,где лучше взять микрозайм,476,654,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование микрозаймов без отказа,рефинансирование микрозаймов без отказа,рефинансирование микрозаймов без отказа,455,649,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"noRefusal;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
топ микрозайм,топ микрозайм,топ микрозайм,444,580,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
займ онлайн на карту без проверок срочно список,займ онлайн на карту без проверок срочно список,займ онлайн на карту без проверок срочно список,430,565,LOW,LOW,microcredit,microcredit:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;instant;noChecks;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм на карту список лучших,микрозайм на карту список лучших,микрозайм на карту список лучших,426,539,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
как рассчитать микрозайм,как рассчитать микрозайм,как рассчитать микрозайм,420,323,HIGH,HIGH,microzaim,microzaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;microloan;loan",Сервисная страница и перелинковка.
список микрозаймов онлайн на карту без отказа,список микрозаймов онлайн на карту без отказа,список микрозаймов онлайн на карту без отказа,419,871,LOW,LOW,"microzaim;zaim","microzaim:Queries;zaim:AdditionalQueries",support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;noRefusal;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список микрозаймов на карту мгновенно,список микрозаймов на карту мгновенно,список микрозаймов на карту мгновенно,412,583,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"onCard;instant;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм рейтинг,микрозайм рейтинг,микрозайм рейтинг,405,551,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список всех микрозаймов онлайн,список всех микрозаймов онлайн,список всех микрозаймов онлайн,401,565,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм с плохим рейтингом,микрозайм с плохим рейтингом,микрозайм с плохим рейтингом,387,454,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
топ 20 микрозаймов,топ 20 микрозаймов,топ 20 микрозаймов,366,524,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
топ 10 микрозаймов на карту онлайн,топ 10 микрозаймов на карту онлайн,топ 10 микрозаймов на карту онлайн,356,715,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрокредиты рейтинг,микрокредиты рейтинг,микрокредиты рейтинг,347,456,AVERAGE,AVERAGE,microcredit,microcredit:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microcredit",Коммерческо-support листинг: рейтинг/топ/подбор.
топ займов под залог авто,топ займов под залог авто,топ займов под залог авто,344,417,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"collateralAuto;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
займы онлайн список лучших,займы онлайн список лучших,займы онлайн список лучших,331,431,LOW,LOW,microzaim,microzaim:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
топ лучших микрозаймов онлайн,топ лучших микрозаймов онлайн,топ лучших микрозаймов онлайн,328,577,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:Queries;zaim:AdditionalQueries",support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
топ быстрозаймов,топ быстрозаймов,топ быстрозаймов,327,479,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"instant;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
займы онлайн на карту топ,займы онлайн на карту топ,займы онлайн на карту топ,323,554,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
займы лучшие онлайн,займы лучшие онлайн,займы лучшие онлайн,316,480,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рейтинг лучших микрозаймов,рейтинг лучших микрозаймов,рейтинг лучших микрозаймов,315,422,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
калькулятор микрозайма,калькулятор микрозайма,калькулятор микрозайма,292,2353,LOW,LOW,microzaim,microzaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;microloan;loan",Сервисная страница и перелинковка.
лучшие мфо для микрозаймов,лучшие мфо для микрозаймов,лучшие мфо для микрозаймов,285,383,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;mfo;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование микрозаймов с плохой кредитной историей,рефинансирование микрозаймов с плохой кредитной историей,рефинансирование микрозаймов с плохой кредитной историей,265,300,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"badCredit;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
срочное рефинансирование микрозаймов,срочное рефинансирование микрозаймов,срочное рефинансирование микрозаймов,263,269,HIGH,HIGH,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"instant;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
расчет микрозайма,расчет микрозайма,расчет микрозайма,254,740,HIGH,HIGH,"microcredit;microzaim","microcredit:AdditionalQueries;microzaim:Queries",support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;microloan;loan",Сервисная страница и перелинковка.
микрозайм с плохим рейтингом кредитным,микрозайм с плохим рейтингом кредитным,микрозайм с плохим рейтингом кредитным,244,272,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"badCredit;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
список новых микрозаймов,список новых микрозаймов,список новых микрозаймов,238,285,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"newLoans;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм список компаний,микрозайм список компаний,микрозайм список компаний,231,281,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозайм отзывы,микрозайм отзывы,микрозайм отзывы,227,319,LOW,LOW,microzaim,microzaim:Queries,support,/reviews/mfo/,Отзывы о МФО,support,medium,"reviews;microloan;loan","UGC/support слой, не основной коммерческий листинг."
топ микрозаймов на карту без отказа онлайн,топ микрозаймов на карту без отказа онлайн,топ микрозаймов на карту без отказа онлайн,225,279,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;noRefusal;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
микрозаймов рейтинг онлайн,микрозаймов рейтинг онлайн,микрозаймов рейтинг онлайн,218,313,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование микрозаймов с просрочками вам одобрено,рефинансирование микрозаймов с просрочками вам одобрено,рефинансирование микрозаймов с просрочками вам одобрено,218,220,AVERAGE,AVERAGE,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"noRefusal;badCredit;instant;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
рефинансирование микрозаймов с просрочками онлайн,рефинансирование микрозаймов с просрочками онлайн,рефинансирование микрозаймов с просрочками онлайн,217,275,HIGH,HIGH,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"online;badCredit;instant;refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
