query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
cash to you личный кабинет,cash to you личный кабинет,cash to you личный кабинет,821,1356,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
занять деньги на карту,занять деньги на карту,занять деньги на карту,779,991,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,onCard,Неочевидная релевантность к займам.
быстро деньги на карту без отказа,быстро деньги на карту без отказа,быстро деньги на карту без отказа,759,711,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;instant",Неочевидная релевантность к займам.
кредит онлайн на карту до 15000,кредит онлайн на карту до 15000,кредит онлайн на карту до 15000,738,485,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"online;onCard;amount:5000",Неочевидная релевантность к займам.
вивус личный кабинет войти,вивус личный кабинет войти,вивус личный кабинет войти,711,790,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит на карту большая сумма,кредит на карту большая сумма,кредит на карту большая сумма,701,494,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,onCard,Неочевидная релевантность к займам.
zaim express,zaim express,zaim express,681,728,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
capitalina,capitalina,capitalina,664,1280,LOW,LOW,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
маниман,маниман,маниман,632,1346,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
вивус личный кабинет войти в личный,вивус личный кабинет войти в личный,вивус личный кабинет войти в личный,615,719,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
dozarplati,dozarplati,dozarplati,611,1392,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит онлайн без проверки,кредит онлайн без проверки,кредит онлайн без проверки,603,642,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"online;noChecks",Неочевидная релевантность к займам.
екапуста личный кабинет войти по номеру телефона,екапуста личный кабинет войти по номеру телефона,екапуста личный кабинет войти по номеру телефона,576,504,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги срочно на карту без отказа,деньги срочно на карту без отказа,деньги срочно на карту без отказа,521,601,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;instant",Неочевидная релевантность к займам.
кредитплюс в личный,кредитплюс в личный,кредитплюс в личный,488,537,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
мани ман,мани ман,мани ман,479,1132,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
быстро получить деньги на карту,быстро получить деньги на карту,быстро получить деньги на карту,443,817,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;instant",Неочевидная релевантность к займам.
кредит онлайн под 0 процентов,кредит онлайн под 0 процентов,кредит онлайн под 0 процентов,383,410,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"online;noInterest",Неочевидная релевантность к займам.
kviki,kviki,kviki,376,573,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
дозарплаты ру личный кабинет,дозарплаты ру личный кабинет,дозарплаты ру личный кабинет,360,449,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
быстро деньги личный,быстро деньги личный,быстро деньги личный,347,558,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,instant,Неочевидная релевантность к займам.
микро резерв,микро резерв,микро резерв,341,368,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
lime zaim личный кабинет,lime zaim личный кабинет,lime zaim личный кабинет,332,811,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
аленьги личный кабинет,аленьги личный кабинет,аленьги личный кабинет,331,420,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
целфин,целфин,целфин,319,448,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
получить кредит на ооо,получить кредит на ооо,получить кредит на ооо,313,366,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
bunny money личный кабинет,bunny money личный кабинет,bunny money личный кабинет,310,417,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит онлайн без карты,кредит онлайн без карты,кредит онлайн без карты,309,451,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;onCard;noCard",Неочевидная релевантность к займам.
надо денег личный,надо денег личный,надо денег личный,307,548,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги на карту без процентов,деньги на карту без процентов,деньги на карту без процентов,305,437,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noInterest",Неочевидная релевантность к займам.
eqvazaim,eqvazaim,eqvazaim,303,1254,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
юкки вход в личный кабинет,юкки вход в личный кабинет,юкки вход в личный кабинет,289,341,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
bistrodengi,bistrodengi,bistrodengi,281,808,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
экспресс деньги личный,экспресс деньги личный,экспресс деньги личный,274,263,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,instant,Неочевидная релевантность к займам.
монеуман,монеуман,монеуман,272,550,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
монемен,монемен,монемен,266,722,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
юкки личный кабинет вход,юкки личный кабинет вход,юкки личный кабинет вход,263,352,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
солва кз,солва кз,солва кз,259,349,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
ezaem личный кабинет,ezaem личный кабинет,ezaem личный кабинет,254,773,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
creditplus личный,creditplus личный,creditplus личный,248,276,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
быстрый кредит на карту без отказа,быстрый кредит на карту без отказа,быстрый кредит на карту без отказа,243,269,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;instant",Неочевидная релевантность к займам.
взять кредит через госуслуги на карту,взять кредит через госуслуги на карту,взять кредит через госуслуги на карту,240,225,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:AdditionalQueries;zaim:AdditionalQueries",review-needed,,,,low,"onCard;gosuslugi",Неочевидная релевантность к займам.
zaimexpress,zaimexpress,zaimexpress,232,240,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
екапуств,екапуств,екапуств,217,720,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
сайт быстроденьги официальный,сайт быстроденьги официальный,сайт быстроденьги официальный,211,258,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,instant,Неочевидная релевантность к займам.
кредит без процентов на карту,кредит без процентов на карту,кредит без процентов на карту,209,267,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noInterest",Неочевидная релевантность к займам.
юкки вход,юкки вход,юкки вход,199,293,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
буустра,буустра,буустра,197,414,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
бумтра,бумтра,бумтра,192,449,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
екапустп,екапустп,екапустп,192,418,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги на карту без паспорта,деньги на карту без паспорта,деньги на карту без паспорта,192,161,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"onCard;noDocs;passport;noPassport",Неочевидная релевантность к займам.
аденбги личный кабинет,аденбги личный кабинет,аденбги личный кабинет,189,263,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:AdditionalQueries;zaim:AdditionalQueries",review-needed,,,,low,,Неочевидная релевантность к займам.
рсв коллекторское агентство,рсв коллекторское агентство,рсв коллекторское агентство,189,222,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги быстро быстро,деньги быстро быстро,деньги быстро быстро,182,216,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,instant,Неочевидная релевантность к займам.
bistrodengi личный,bistrodengi личный,bistrodengi личный,177,384,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
квику ру,квику ру,квику ру,177,310,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит с плохой кредитной историей без отказа на карту срочно,кредит с плохой кредитной историей без отказа на карту срочно,кредит с плохой кредитной историей без отказа на карту срочно,163,90,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;badCredit;instant",Неочевидная релевантность к займам.
аденьги ру,аденьги ру,аденьги ру,159,329,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
рокетмэн личный кабинет,рокетмэн личный кабинет,рокетмэн личный кабинет,155,239,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
как занять деньги онлайн на карту сбербанка,как занять деньги онлайн на карту сбербанка,как занять деньги онлайн на карту сбербанка,155,116,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"online;onCard",Неочевидная релевантность к займам.
деньги студентам в долг на карту,деньги студентам в долг на карту,деньги студентам в долг на карту,155,115,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"onCard;audience:students",Неочевидная релевантность к займам.
быстрые деньги онлайн на карту сбербанка,быстрые деньги онлайн на карту сбербанка,быстрые деньги онлайн на карту сбербанка,154,115,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"online;onCard;instant",Неочевидная релевантность к займам.
а деньги вход в личный,а деньги вход в личный,а деньги вход в личный,153,168,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
авто под залог онлайн,авто под залог онлайн,авто под залог онлайн,151,228,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,online,Неочевидная релевантность к займам.
личный кабинет а деньги войти,личный кабинет а деньги войти,личный кабинет а деньги войти,151,143,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
акшамат кз,акшамат кз,акшамат кз,150,163,LOW,LOW,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньга ру,деньга ру,деньга ру,147,238,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит 7 личный кабинет войти в личный кабинет,кредит 7 личный кабинет войти в личный кабинет,кредит 7 личный кабинет войти в личный кабинет,146,330,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги сразу официальный сайт,деньги сразу официальный сайт,деньги сразу официальный сайт,145,216,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
где занять денег срочно на карту без отказа,где занять денег срочно на карту без отказа,где занять денег срочно на карту без отказа,143,163,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;instant",Неочевидная релевантность к займам.
деньги на карту быстро,деньги на карту быстро,деньги на карту быстро,142,190,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;instant",Неочевидная релевантность к займам.
кредит онлайн без процентов,кредит онлайн без процентов,кредит онлайн без процентов,140,189,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;noInterest",Неочевидная релевантность к займам.
онлайн кредит на полгода,онлайн кредит на полгода,онлайн кредит на полгода,140,126,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,"online;longTerm",Неочевидная релевантность к займам.
denginadom,denginadom,denginadom,138,247,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
берубери личный кабинет,берубери личный кабинет,берубери личный кабинет,136,181,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
быстрые деньги на карту онлайн без отказа,быстрые деньги на карту онлайн без отказа,быстрые деньги на карту онлайн без отказа,133,116,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;onCard;noRefusal;instant",Неочевидная релевантность к займам.
деньги быстро на карту,деньги быстро на карту,деньги быстро на карту,130,205,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;instant",Неочевидная релевантность к займам.
тезфинанс кредит,тезфинанс кредит,тезфинанс кредит,128,163,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
до зр,до зр,до зр,126,126,LOW,LOW,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
взять 2000 рублей срочно,взять 2000 рублей срочно,взять 2000 рублей срочно,124,171,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"instant;amount:2000",Неочевидная релевантность к займам.
умные наличные вход,умные наличные вход,умные наличные вход,117,138,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,cash,Неочевидная релевантность к займам.
ақшамат,ақшамат,ақшамат,114,154,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
ëкапуста,ëкапуста,ëкапуста,111,220,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
менимен личный кабинет,менимен личный кабинет,менимен личный кабинет,106,158,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
dm lombard,dm lombard,dm lombard,106,141,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит семь личный кабинет,кредит семь личный кабинет,кредит семь личный кабинет,104,138,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
целевые финансы вход в личный кабинет,целевые финансы вход в личный кабинет,целевые финансы вход в личный кабинет,104,121,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
получение кредита для ооо,получение кредита для ооо,получение кредита для ооо,104,114,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
корона кредит,корона кредит,корона кредит,97,119,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
вивас,вивас,вивас,95,241,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
пко рсв личный кабинет,пко рсв личный кабинет,пко рсв личный кабинет,91,67,LOW,LOW,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги под кредитный автомобиль,деньги под кредитный автомобиль,деньги под кредитный автомобиль,89,117,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
papa zaim личный кабинет,papa zaim личный кабинет,papa zaim личный кабинет,87,83,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
простой вопрос лк,простой вопрос лк,простой вопрос лк,86,107,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
bastai,bastai,bastai,86,81,LOW,LOW,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
nebus личный кабинет,nebus личный кабинет,nebus личный кабинет,85,159,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
бинни моней,бинни моней,бинни моней,84,122,LOW,LOW,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги на карту по паспорту,деньги на карту по паспорту,деньги на карту по паспорту,83,100,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noDocs;passport",Неочевидная релевантность к займам.
под 0,под 0,под 0,83,91,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,noInterest,Неочевидная релевантность к займам.
adengi ru,adengi ru,adengi ru,82,160,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
взять деньги по паспорту,взять деньги по паспорту,взять деньги по паспорту,82,105,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"noDocs;passport",Неочевидная релевантность к займам.
neo credit kz личный кабинет,neo credit kz личный кабинет,neo credit kz личный кабинет,82,93,LOW,LOW,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
papa zaim,papa zaim,papa zaim,82,91,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
бусьра личный кабинет,бусьра личный кабинет,бусьра личный кабинет,79,128,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
взять кредит без фото паспорта,взять кредит без фото паспорта,взять кредит без фото паспорта,78,76,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"noDocs;passport;noPhoto",Неочевидная релевантность к займам.
квикт,квикт,квикт,76,94,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
взять кредит онлайн на карту без процентов,взять кредит онлайн на карту без процентов,взять кредит онлайн на карту без процентов,73,100,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,"online;onCard;noInterest",Неочевидная релевантность к займам.
аденьши личный кабинет,аденьши личный кабинет,аденьши личный кабинет,69,85,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
грин мани личный кабинет войти в личный кабинет по номеру телефона,грин мани личный кабинет войти в личный кабинет по номеру телефона,грин мани личный кабинет войти в личный кабинет по номеру телефона,69,70,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги в долг с плохой ки,деньги в долг с плохой ки,деньги в долг с плохой ки,69,70,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,badCredit,Неочевидная релевантность к займам.
кредит на карту мгновенно,кредит на карту мгновенно,кредит на карту мгновенно,69,66,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;instant",Неочевидная релевантность к займам.
кредит через госуслуги онлайн кредит экспресс,кредит через госуслуги онлайн кредит экспресс,кредит через госуслуги онлайн кредит экспресс,68,72,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;instant;gosuslugi",Неочевидная релевантность к займам.
яндекс деньги в долг,яндекс деньги в долг,яндекс деньги в долг,68,64,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
статья 807 гк рф,статья 807 гк рф,статья 807 гк рф,67,77,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит онлайн на карту через госуслуги,кредит онлайн на карту через госуслуги,кредит онлайн на карту через госуслуги,64,70,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;onCard;gosuslugi",Неочевидная релевантность к займам.
бустоа,бустоа,бустоа,63,125,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
срочно нужны деньги без отказа,срочно нужны деньги без отказа,срочно нужны деньги без отказа,60,74,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,"noRefusal;instant",Неочевидная релевантность к займам.
аденьни личный кабинет,аденьни личный кабинет,аденьни личный кабинет,60,73,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
eqzaim личный,eqzaim личный,eqzaim личный,59,215,LOW,LOW,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги онлайн без отказа,деньги онлайн без отказа,деньги онлайн без отказа,58,84,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;noRefusal",Неочевидная релевантность к займам.
кредит на бизнес ооо,кредит на бизнес ооо,кредит на бизнес ооо,58,67,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
деньги по паспорту на карту,деньги по паспорту на карту,деньги по паспорту на карту,57,111,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noDocs;passport",Неочевидная релевантность к займам.
где взять денег онлайн на карту,где взять денег онлайн на карту,где взять денег онлайн на карту,56,75,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,"online;onCard",Неочевидная релевантность к займам.
турбомания кредит,турбомания кредит,турбомания кредит,55,78,LOW,LOW,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
monega,monega,monega,55,64,LOW,LOW,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
