query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
что нужно чтобы взять микрозайм онлайн,что нужно чтобы взять микрозайм онлайн,что нужно чтобы взять микрозайм онлайн,464,532,HIGH,HIGH,"microcredit;microzaim","microcredit:AdditionalQueries;microzaim:Queries",informational,,,,separate,"online;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как оформить микрозайм,как оформить микрозайм,как оформить микрозайм,455,905,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм без отказа,как взять микрозайм без отказа,как взять микрозайм без отказа,450,512,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"noRefusal;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не платить микрозайм,что будет если не платить микрозайм,что будет если не платить микрозайм,438,525,HIGH,HIGH,"microcredit;microzaim","microcredit:AdditionalQueries;microzaim:Queries",informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм с плохой кредитной историей,как взять микрозайм с плохой кредитной историей,как взять микрозайм с плохой кредитной историей,421,327,LOW,LOW,microzaim,microzaim:Queries,informational,,,,separate,"badCredit;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
микрозайм на долгий срок,микрозайм на долгий срок,микрозайм на долгий срок,396,600,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как инвестировать микрозайм,как инвестировать микрозайм,как инвестировать микрозайм,356,277,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как открыть микрозайм,как открыть микрозайм,как открыть микрозайм,354,277,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
еfin микрозайм официальный сайт,еfin микрозайм официальный сайт,еfin микрозайм официальный сайт,341,301,LOW,LOW,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
разрешено ли заключать онлайн микрозайм законом рф,разрешено ли заключать онлайн микрозайм законом рф,разрешено ли заключать онлайн микрозайм законом рф,340,173,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"online;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
списание долгов по микрозаймам,списание долгов по микрозаймам,списание долгов по микрозаймам,339,368,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
можно ли взять микрозайм без паспорта,можно ли взять микрозайм без паспорта,можно ли взять микрозайм без паспорта,333,443,LOW,LOW,microzaim,microzaim:Queries,informational,,,,separate,"noDocs;passport;noPassport;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как выбрать микрозайм,как выбрать микрозайм,как выбрать микрозайм,322,267,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм без работы,как взять микрозайм без работы,как взять микрозайм без работы,316,306,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan;audience:unemployed",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм без паспорта,как взять микрозайм без паспорта,как взять микрозайм без паспорта,268,333,LOW,LOW,microzaim,microzaim:Queries,informational,,,,separate,"noDocs;passport;noPassport;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
партнерка займов,партнерка займов,партнерка займов,252,245,LOW,LOW,microcredit,microcredit:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
взять в долг микрозайм,взять в долг микрозайм,взять в долг микрозайм,246,286,AVERAGE,AVERAGE,"microcredit;microzaim","microcredit:AdditionalQueries;microzaim:Queries",informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как получить микрозайм онлайн,как получить микрозайм онлайн,как получить микрозайм онлайн,245,307,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"online;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как избавиться от смс микрозаймов,как избавиться от смс микрозаймов,как избавиться от смс микрозаймов,221,180,LOW,LOW,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что делать если нет денег платить микрозаймы,что делать если нет денег платить микрозаймы,что делать если нет денег платить микрозаймы,215,197,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долгосрочный займ онлайн на карту срочно,долгосрочный займ онлайн на карту срочно,долгосрочный займ онлайн на карту срочно,202,247,AVERAGE,AVERAGE,"microcredit;microzaim","microcredit:AdditionalQueries;microzaim:AdditionalQueries",informational,,,,separate,"online;onCard;instant;longTerm;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
если не платить микрозайм что будет по закону,если не платить микрозайм что будет по закону,если не платить микрозайм что будет по закону,188,204,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
внимание антоха взял микрозайм песня,внимание антоха взял микрозайм песня,внимание антоха взял микрозайм песня,187,170,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
могут ли посадить за неуплату микрозаймов,могут ли посадить за неуплату микрозаймов,могут ли посадить за неуплату микрозаймов,183,252,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
приходят смс от микрозаймов что делать,приходят смс от микрозаймов что делать,приходят смс от микрозаймов что делать,182,197,LOW,LOW,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
отменить подписку на платные услуги микрозайм 24,отменить подписку на платные услуги микрозайм 24,отменить подписку на платные услуги микрозайм 24,169,106,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"noPaidServices;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как избавиться от долгов по микрозаймам,как избавиться от долгов по микрозаймам,как избавиться от долгов по микрозаймам,168,194,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не отдавать микрозайм,что будет если не отдавать микрозайм,что будет если не отдавать микрозайм,167,190,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
можно ли получить микрозайм без паспорта,можно ли получить микрозайм без паспорта,можно ли получить микрозайм без паспорта,163,127,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"noDocs;passport;noPassport;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
где взять деньги на закрытие микрозаймов,где взять деньги на закрытие микрозаймов,где взять деньги на закрытие микрозаймов,162,232,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
микрокредит на долгий срок,микрокредит на долгий срок,микрокредит на долгий срок,158,188,AVERAGE,AVERAGE,microcredit,microcredit:Queries,informational,,,,separate,microcredit,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как списать долги по микрозаймам,как списать долги по микрозаймам,как списать долги по микрозаймам,155,201,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что могут сделать коллекторы с должником за неуплату микрозайма,что могут сделать коллекторы с должником за неуплату микрозайма,что могут сделать коллекторы с должником за неуплату микрозайма,155,184,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не заплатить микрозайм,что будет если не заплатить микрозайм,что будет если не заплатить микрозайм,155,148,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что делать если не можешь вернуть микрозайм,что делать если не можешь вернуть микрозайм,что делать если не можешь вернуть микрозайм,154,121,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм онлайн по паспорту,как взять микрозайм онлайн по паспорту,как взять микрозайм онлайн по паспорту,153,251,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"online;noDocs;passport;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как получить микрозайм по паспорту,как получить микрозайм по паспорту,как получить микрозайм по паспорту,153,114,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"noDocs;passport;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как проверить наличие микрозаймов,как проверить наличие микрозаймов,как проверить наличие микрозаймов,152,192,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как избавиться от микрозаймов если платить нечем,как избавиться от микрозаймов если платить нечем,как избавиться от микрозаймов если платить нечем,151,197,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что делать если много микрозаймов и нечем платить,что делать если много микрозаймов и нечем платить,что делать если много микрозаймов и нечем платить,150,148,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
партнерская программа микрозаймов,партнерская программа микрозаймов,партнерская программа микрозаймов,149,143,LOW,LOW,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм по паспорту,как взять микрозайм по паспорту,как взять микрозайм по паспорту,148,240,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"noDocs;passport;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как выйти из долгов микрозаймов,как выйти из долгов микрозаймов,как выйти из долгов микрозаймов,148,114,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как узнать все долги по микрозаймам,как узнать все долги по микрозаймам,как узнать все долги по микрозаймам,147,177,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долги по микрозаймам что делать платить нечем,долги по микрозаймам что делать платить нечем,долги по микрозаймам что делать платить нечем,146,132,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм по телефону,как взять микрозайм по телефону,как взять микрозайм по телефону,144,216,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что делать если погряз в микрозаймах,что делать если погряз в микрозаймах,что делать если погряз в микрозаймах,144,136,AVERAGE,AVERAGE,"microcredit;microzaim","microcredit:AdditionalQueries;microzaim:Queries",informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
антоха взял микрозайм песня,антоха взял микрозайм песня,антоха взял микрозайм песня,142,138,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как избавиться от микрозаймов,как избавиться от микрозаймов,как избавиться от микрозаймов,141,176,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что делать если много займов,что делать если много займов,что делать если много займов,140,137,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как закрыть займ,как закрыть займ,как закрыть займ,138,142,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что делать если не можешь платить микрозаймы,что делать если не можешь платить микрозаймы,что делать если не можешь платить микрозаймы,138,130,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долгосрочный микрозайм на карту,долгосрочный микрозайм на карту,долгосрочный микрозайм на карту,136,181,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"onCard;instant;longTerm;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не платить микрокредиты,что будет если не платить микрокредиты,что будет если не платить микрокредиты,134,108,HIGH,HIGH,microcredit,microcredit:Queries,informational,,,,separate,microcredit,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что делать если взял займ а платить нечем,что делать если взял займ а платить нечем,что делать если взял займ а платить нечем,127,123,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как избавиться от займов если платить нечем,как избавиться от займов если платить нечем,как избавиться от займов если платить нечем,127,118,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долг по микрозайму что делать,долг по микрозайму что делать,долг по микрозайму что делать,121,115,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
набрала займов а платить нечем что делать,набрала займов а платить нечем что делать,набрала займов а платить нечем что делать,120,111,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрокредит,как взять микрокредит,как взять микрокредит,109,146,HIGH,HIGH,microcredit,microcredit:Queries,informational,,,,separate,microcredit,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
мкк стратосфера что за займ,мкк стратосфера что за займ,мкк стратосфера что за займ,105,426,LOW,LOW,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"mfo;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как проверить свои микрозаймы,как проверить свои микрозаймы,как проверить свои микрозаймы,97,110,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как узнать все задолженности по микрозаймам,как узнать все задолженности по микрозаймам,как узнать все задолженности по микрозаймам,96,107,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не платить микрокредит,что будет если не платить микрокредит,что будет если не платить микрокредит,94,69,HIGH,HIGH,microcredit,microcredit:Queries,informational,,,,separate,microcredit,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
в долг займ онлайн,в долг займ онлайн,в долг займ онлайн,92,153,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"online;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как проверить задолженность по микрокредитам,как проверить задолженность по микрокредитам,как проверить задолженность по микрокредитам,90,95,AVERAGE,AVERAGE,microcredit,microcredit:Queries,informational,,,,separate,microcredit,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как оформляется микрозайм онлайн,как оформляется микрозайм онлайн,как оформляется микрозайм онлайн,88,146,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"online;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
микрозайм как взять,микрозайм как взять,микрозайм как взять,86,178,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что если не платить микрозаймы,что если не платить микрозаймы,что если не платить микрозаймы,85,81,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
какие есть займы онлайн на карту взять быстро,какие есть займы онлайн на карту взять быстро,какие есть займы онлайн на карту взять быстро,84,114,LOW,LOW,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"online;onCard;instant;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрокредит через госуслуги,как взять микрокредит через госуслуги,как взять микрокредит через госуслуги,83,97,AVERAGE,AVERAGE,microcredit,microcredit:Queries,informational,,,,separate,"gosuslugi;microcredit",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
если нечем платить микрозаймы что делать,если нечем платить микрозаймы что делать,если нечем платить микрозаймы что делать,83,89,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как проверить микрокредиты,как проверить микрокредиты,как проверить микрокредиты,83,89,AVERAGE,AVERAGE,microcredit,microcredit:Queries,informational,,,,separate,microcredit,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не платить микрозаймы взятые,что будет если не платить микрозаймы взятые,что будет если не платить микрозаймы взятые,83,73,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как узнать все мои займы по микрокредитам,как узнать все мои займы по микрокредитам,как узнать все мои займы по микрокредитам,82,91,AVERAGE,AVERAGE,microcredit,microcredit:Queries,informational,,,,separate,"microcredit;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрокредит онлайн,как взять микрокредит онлайн,как взять микрокредит онлайн,81,153,AVERAGE,AVERAGE,microcredit,microcredit:Queries,informational,,,,separate,"online;microcredit",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
какие микрозаймы дают с плохой кредитной историей,какие микрозаймы дают с плохой кредитной историей,какие микрозаймы дают с плохой кредитной историей,81,53,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"badCredit;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не отдавать микрозаймы,что будет если не отдавать микрозаймы,что будет если не отдавать микрозаймы,79,81,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не вернуть займ,что будет если не вернуть займ,что будет если не вернуть займ,79,69,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не оплачивать займы,что будет если не оплачивать займы,что будет если не оплачивать займы,79,64,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долгосрочные онлайн займы,долгосрочные онлайн займы,долгосрочные онлайн займы,76,86,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,informational,,,,separate,"online;instant;longTerm;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как проверить микрокредиты задолженности,как проверить микрокредиты задолженности,как проверить микрокредиты задолженности,76,78,AVERAGE,AVERAGE,microcredit,microcredit:Queries,informational,,,,separate,microcredit,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
если не платить займ что будет,если не платить займ что будет,если не платить займ что будет,76,66,AVERAGE,AVERAGE,"microcredit;microzaim","microcredit:AdditionalQueries;microzaim:AdditionalQueries",informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не платить по займам,что будет если не платить по займам,что будет если не платить по займам,76,62,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
